,timestamp,ACC_0,ACC_1,ACC_2,GYRO_0,GYRO_1,GYRO_2,MAG_0,MAG_1,MAG_2,PRESS,LIGHT,label,ACC_012,ACC_01,ACC_02,ACC_12,GYRO_012,GYRO_01,GYRO_02,GYRO_12,MAG_012,MAG_01,MAG_02,MAG_12
1666,157089568829626.7,-0.160293499,-4.14759258,9.062070091667815,1.8702349175426403,-0.089332479,-0.168756892,-28.31133756,71.42012906512167,-115.3399136,1023.4274733764281,1503.8399312922936,1,9.967413534102917,4.150688884211594,9.063487648362397,9.966124550400753,1.8799568684231083,1.8723672018757445,1.8778332021952702,0.19094287191590387,138.58449530413407,76.82686164487416,118.76374658549182,135.66182404854933
1667,157089602162960.03,-0.442410873,-2.827155707,9.926538903987813,1.440969452396232,-0.004020943,-0.170035112,-26.15014423,68.19873819529337,-114.1033488,1023.4276541776778,1656.8992830910347,1,10.330765285576279,2.8615619464349145,9.936392805894224,10.321287904376325,1.4509724566703992,1.440975062492122,1.4509668852289688,0.1700826483714241,135.47867782599874,73.04038564108086,117.06154045650773,132.9309674316452
1668,157089635496293.38,-1.736974426,-2.971359003,9.516789087,1.0863737800422277,0.005126158,-0.245608444,-27.74190621,66.33252848127809,-116.7563241,1023.438587801229,1833.1936933436486,1,10.120045899291425,3.4418097685522953,9.674004066384823,9.969867043,1.1138032929664365,1.0863858741071368,1.1137914966126237,0.24566193327342942,137.11913404709034,71.90005351,120.00688558205468,134.2834448537427
1669,157089668829626.72,-1.214032589,-2.663844366,8.651555951208952,1.1309145815861796,-0.019957818,-0.246303164,-26.59019874,65.71270875686882,-117.2465827,1023.427392450812,2009.7974223978308,1,9.133420077336096,2.927446315850568,8.736320478488704,9.052374671,1.1575972330434146,1.1310906706949584,1.157425176614386,0.24711042694618449,137.01080218450502,70.88863633304996,120.22395694318375,134.40580808226713
1670,157089702162960.06,-1.406816899,-2.4197694,9.458021521324744,1.565737110727996,0.055350637,-0.261617329,-28.14271507,63.385888353055066,-117.3235345,1023.4173672728839,2172.783135400154,1,9.863497799216754,2.799002989871878,9.562076389818426,9.762656147190311,1.5884080142271888,1.5667151601115135,1.5874433302164739,0.26740852594917053,136.28864588796887,69.35260091571101,120.65166453750322,133.3513501488015
1671,157089735496293.4,-0.935898949,-1.704469417,9.422926909230076,1.6040783362569235,-0.074323528,-0.417711147,-26.9283764,59.77996756715024,-119.6581503,1023.4384920000189,2319.65645,1,9.621469449822973,1.9445109506465825,9.469290278545927,9.575842914919013,1.6592389514000203,1.6057992700629224,1.657573500921514,0.42427183384507056,136.44359608587175,65.56509725420506,122.6507659597566,133.75992470549872
1672,157089768829626.75,-0.906595902,-1.931159147,8.314563565484898,1.0735718005110984,-0.128062322,-0.498965305,-27.6120436,58.73016924529657,-119.3116777,1023.4274656843036,2448.661822068476,1,8.583895332,2.133375677250702,8.363843818178218,8.535885597545503,1.1907656130440518,1.0811828564894794,1.1838592766431608,0.5151371995454558,135.8194910930041,64.89728600762243,122.46510270759357,132.98311625611973
1673,157089802162960.1,-0.904384759,1.136554268523022,8.551301782288482,1.2473897064876722,-0.122463651,-0.106728101,-27.26136277,56.42762141334656,-119.6568764,1023.4177597265799,2558.043706083613,1,8.673778275343874,1.4524694138112555,8.598992613354744,8.626500899963325,1.2579226181547447,1.2533867821381381,1.2519472702466714,0.16244455489146503,135.07415158584777,62.667841499912576,122.72306208805506,132.2945370253299
1674,157089835496293.44,-1.913883785,0.37423682,8.106577746288428,0.066491984,0.18238053684712788,-0.12980933,-26.41574601,55.86037127322666,-119.2849811,1023.4177631113643,2646.418180824749,1,8.337841872931392,1.9501293140172273,8.329438990746294,8.115211393060703,0.23352581514059118,0.19412327067341786,0.14584802404020078,0.22385960408429895,134.33941873844677,61.79136441323205,122.17486790744248,131.71669518218877
1675,157089868829626.78,-3.041533477,2.4305864270022366,6.382390836488867,-0.445121374,0.3279867351037099,0.21444906199593475,-27.1751792,56.12490975319274,-118.9579419,1023.4272001246542,2714.359271776157,1,7.476201512704553,3.893414474323122,7.070066384372804,6.8295434085174795,0.5930402485916711,0.5529089764678585,0.4940864681871787,0.3918720436506379,134.31116036858376,62.357805121383706,122.02246639349411,131.53325600319863
